Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
0	-23503.99893713115	-23018.36933376704	-485.6296033641086	0.5628234131196755	0.1612541051301816	0.1753097459335842	0.10061273581655861	0.11860673288648746	0.4611766639985064	0.025318264793200346	0.3948983383218059	0.07909763210476611	0.4968048110124579	0.130713295363776	0.293384261519	8.6788915346807	11.35710094452262	7.671225501518602	0.1668922317523388	2.5716541048969734	0.2574864835018896	0.12828410472437302	16.881269060277436	46.324451189156214	350.10370372826964	-4667.651269201152	-12134.531897923218	-6216.1861666426685
10000	-7935.866787928055	-7431.022567010428	-504.844220917626	0.4199194116237305	0.2352579368579067	0.11554420350799102	0.2292784480103717	0.23825461970748676	0.43859806310504146	0.075159232546686	0.24798808464078573	0.2800084784958331	0.41617852690717627	0.0704632158697295	0.2333497787272611	5.856677522449319	29.625414632928045	13.111780651306546	0.38784370564859444	1.5496635861300774	1.059577678248227	0.007685216834120363	15.871792907888652	46.92923149337248	342.2509206317903	-1911.9113243416114	-2589.8596634805813	-2929.251579188236
20000	-6444.229463240635	-5873.585081978351	-570.6443812622839	0.48428535868075195	0.23800296185050931	0.09249037633837082	0.1852213031303678	0.3312254074488047	0.3989381035400381	0.09539124358430445	0.17444524542685275	0.31908667752183917	0.36263294022831316	0.0704632158697295	0.24781716638011814	6.5395644018428305	13.433087567009357	12.543318516743291	0.6574933429854019	0.8868653969167928	1.454010276016784	0.0027820901450215743	31.485602309549094	51.506459537536536	467.2467606765373	-1555.2133715533216	-1929.2123081321558	-2389.1594022928734
30000	-6132.241161094385	-5550.535522570491	-581.705638523894	0.4820122915668716	0.21325213310790347	0.11673881316604298	0.18799676215918198	0.2714467933673909	0.4633369469891811	0.08502288708543762	0.18019337255799045	0.3330876855589806	0.3878754043689191	0.07427000044449801	0.20476690962760227	6.607770307767656	10.151909595234084	9.142463634511298	0.7484734513299853	0.9355497918974409	1.3147790113027171	0.002648449696511402	32.65584621432132	53.48700000107769	506.41411766714646	-1438.9031560439755	-1826.9860246256626	-2284.6463419008523
40000	-6094.0334884972945	-5485.182078102904	-608.8514103943911	0.47280743033735406	0.24664446903458445	0.08721938792829793	0.19332871269976346	0.3306562208201138	0.38458478158917553	0.10538306882128441	0.17937592876942635	0.32410853602143935	0.39525396514165295	0.07286846880898257	0.20776903002792504	8.314860553501406	8.224717656634855	10.707937741361803	0.6919752774288981	0.9303605447148534	1.3761973934630534	0.002231273774994115	33.16224425990001	60.50831036499424	580.0925480824595	-1425.9028900655503	-1797.6543072888214	-2261.624880748532
50000	-6087.642171344038	-5485.323083378302	-602.3190879657354	0.47471026676152867	0.2566143229920358	0.09342806587042375	0.17524734437601178	0.29929652430424614	0.4232271888450254	0.08348319077145251	0.193993096079276	0.3018054249398016	0.36286020295714316	0.0985341102493471	0.23680026185370806	6.215398924408759	7.464973924235605	10.128004328334754	0.7025321412462802	0.9295056731475502	1.3665456719930573	0.0023878413912529696	44.52828978499806	55.15025066333091	560.5794204886267	-1435.6768747348312	-1795.3927780946617	-2254.2534305488093
60000	-6060.3842654045675	-5473.5378947534955	-586.8463706510724	0.45451875893464555	0.2604657211295787	0.09930522337467457	0.18571029656110116	0.3055053376134104	0.4247139455591113	0.10123502029043557	0.16854569653704285	0.31482761147419125	0.40655947948761606	0.06732838989333778	0.21128451914485483	7.228412879862233	8.41035898449616	9.678899704991903	0.6560816241129127	0.9121586000262039	1.4301220693090413	0.0024887562336592508	36.141991924720834	53.65041526615574	526.0395538270633	-1430.8859583724168	-1781.392577619932	-2261.2593587611473
70000	-6061.004091964562	-5478.983489759141	-582.0206022054213	0.4457976964082974	0.26239416100225643	0.11487115625624823	0.176936986333198	0.29059834004570023	0.4278985490784923	0.08749075050021322	0.19401236037559438	0.3166967234447266	0.3888846287147608	0.08426870494379254	0.21014994289671984	9.160808199948253	10.48290788333024	10.355158238532763	0.7193558956173557	0.874779740150762	1.4045279637348231	0.002479022036558175	35.17163713232017	53.56643858095671	505.86935426399936	-1442.0239933264975	-1788.0471325207616	-2248.912363911882
80000	-6065.886757420976	-5485.055373112227	-580.8313843087487	0.45646522672062534	0.27637801381582633	0.10660417361125932	0.16055258585228896	0.244693747840215	0.41996951105513236	0.10843788436054067	0.22689885674411212	0.2857832054888529	0.3773275611651508	0.09569016739929409	0.24119906594670207	7.394690600762345	10.552024121333346	10.319876725143278	0.6637236746148081	0.9648657560556452	1.3698092534943804	0.0026451653232509435	34.05938495984622	51.92140074767441	505.73886174931295	-1435.93440469259	-1783.14237549847	-2265.9785929211675
90000	-6080.507407096886	-5479.727366949592	-600.7800401472939	0.4809548800385243	0.23532397025299573	0.09828617679311191	0.185434972915368	0.34602287286813777	0.4118882113750337	0.08400588819980793	0.15808302755702075	0.2893542311108173	0.431660391996403	0.06642836646997678	0.21255701042280278	6.589209824121767	8.42653909260292	12.144337168768352	0.6299269076170523	0.8967791080772434	1.4715317314848344	0.0022763500551297835	36.76968885214102	57.25897047485559	562.2151636699689	-1433.7655126634745	-1780.9727471152598	-2264.9891071708576
100000	-6100.05897613147	-5487.132660684158	-612.9263154473131	0.5103072454373601	0.2138457031216642	0.08845834103753801	0.18738871040343769	0.31959256850988593	0.3995439392946185	0.09330545220240308	0.18755803999309256	0.3840524293850045	0.3482216891658936	0.07916458044094132	0.18856130100816051	6.539807982631564	7.380273879831844	14.962781017759998	0.642048989015743	1.0050554386090482	1.3511910437514756	0.002041171552315292	42.68538685970508	56.390699756605194	583.7284986934538	-1437.8731122181568	-1789.9809969023033	-2259.2785515636974
110000	-6086.81695469829	-5485.4888815649765	-601.328073133313	0.4457198862085137	0.2549469230075631	0.12105533502820057	0.17827785575572258	0.27657695702773927	0.46117738891502374	0.08319415492000852	0.17905149913722862	0.28078228125753596	0.3966124381869919	0.09123137377643335	0.23137390677903866	6.270804802563064	8.408826867465667	9.719320689099657	0.7044522194761661	0.9503246121488311	1.3438157979915575	0.0022487888951511557	36.63653574739967	56.092311557516396	556.844631249108	-1437.1426653332542	-1789.820389547208	-2258.5258266845144
120000	-6081.902105411721	-5474.676460877696	-607.2256445340257	0.5230352073228149	0.2133637262050506	0.08069153410706939	0.18290953236506513	0.28389382068422253	0.403338354966633	0.11093372513540689	0.20183409921373768	0.34226536386635814	0.38226901483401704	0.07647496342679322	0.19899065787283138	7.2759699452678985	8.807474765541663	10.916183813190681	0.6461681588420152	1.0538705919716376	1.298276335657025	0.002202012640385415	38.98071781360541	54.976815160369924	564.9097788516513	-1441.5311805583387	-1783.8848833059658	-2249.2603970133914
130000	-6071.750663365907	-5478.087120146809	-593.6635432190981	0.4926003741793357	0.218224982173789	0.10313731233541927	0.18603733131145617	0.3486733785336707	0.38394412244396836	0.10929329549436802	0.1580892035279931	0.325314600775152	0.3892039111532776	0.07348188984300345	0.21199959822856668	7.235651339122351	8.984776007091845	9.83257182549182	0.7146206055741482	0.8689478455371307	1.4150725993914568	0.002297767682994172	39.76765572106482	59.32330506461369	546.3878488390965	-1441.2811708472113	-1778.3651502295384	-2258.4407990700597
140000	-6068.245880976475	-5472.425960035802	-595.8199209406729	0.44774315371300366	0.26147114327471666	0.11067351955675533	0.18011218345552452	0.2674179734182594	0.48862108357352274	0.06937253695468397	0.17458840605353398	0.28214128057256094	0.4111869557916663	0.07982538396596268	0.22684637966980978	6.176529856542805	11.806582712717251	12.897150229240845	0.6655792027687197	0.8324532866208588	1.5003750306236079	0.002417975175831164	32.94149305771936	56.589619049073335	544.5373805070709	-1438.3627306689966	-1770.7155995781463	-2263.3476297886596
150000	-6080.578257098452	-5497.960242263982	-582.6180148344704	0.49667125379423205	0.2049696623478759	0.10142832547781375	0.19693075838007845	0.2739373792378657	0.45227593921769826	0.07889383280614314	0.194892848738293	0.32869072087062295	0.389196851992539	0.07148706565343933	0.21062536148339836	6.996932202353253	9.302046891840456	10.81489346623998	0.7124188050282798	0.9067003759761176	1.3795113847338345	0.0025678162546318188	34.72917742419242	56.10757304070551	526.7863337662524	-1446.085917004072	-1781.3249208170441	-2270.549404442866
