Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
0	-13655.482093457787	-12478.220282571268	-1177.2618108865195	0.4361946459221935	0.25366397688119674	0.14187491912280611	0.16826645807380372	0.25002691544334144	0.40023907201700715	0.06247980029486602	0.2872542122447854	0.2809792034281674	0.33167549288796516	0.20725494942130668	0.18009035426256065	2.8070988130604855	7.32449555884287	2.7466094086790567	0.7829076206451357	0.927093252056853	1.2889653540629884	0.005931241172728078	10.559006107965846	60.57654512888061	738.4340863741942	-3342.1458019364745	-4226.431419264876	-4909.6430613699185
10000	-7433.159544752202	-6722.9391729927975	-710.2203717594044	0.49520225723394395	0.21798059745241827	0.11887031906609391	0.16794682624754387	0.30281334270564814	0.4250305977945632	0.10460991067441894	0.16754614882536967	0.3201859030708389	0.34036243141537104	0.07090669534486549	0.2685449701689244	6.169949294729959	8.65544896353191	9.115696204685634	0.658723940896814	1.0079513984312145	1.3316995365810045	0.002087187935681366	87.32375135563849	57.22388058644898	838.2693896033059	-1788.2461981940912	-2224.576646051341	-2710.116328747365
20000	-6416.057379556405	-5734.168571971226	-681.8888075851789	0.4664456592704019	0.23127666639680128	0.1403129245539905	0.16196474977880632	0.29420034259127703	0.42415661576091035	0.09049542168893163	0.19114761995888102	0.30030985650294684	0.36926092289922885	0.07090669534486549	0.2595225252529586	6.572329060591013	8.502536950104826	8.383379203589614	0.7210143301048205	1.0059558236091748	1.271701343096028	0.0016692650459649262	76.18418728026994	62.184432530559604	795.0994045143038	-1507.2669375873115	-1862.1900072062183	-2364.7116271776963
30000	-6258.4441679618885	-5584.884656319773	-673.5595116421154	0.46194452381273254	0.22692666221908814	0.10749111526354523	0.20363769870463408	0.30391748667102464	0.4423892284091625	0.0794922543285569	0.17420103059125597	0.3165798019511792	0.3880793631851726	0.09369371843132744	0.20164711643232053	6.226540156013757	10.492661059578174	10.323120240535513	0.6463440639889669	0.9256929080262003	1.4262789520990666	0.0017515616993696319	63.829088014179725	62.56523434474657	749.2073213521846	-1449.9839189501768	-1829.7511507008085	-2305.1495866687883
40000	-6171.3954616598185	-5519.2067126565025	-652.1887490033157	0.5066888870551078	0.2203469900991723	0.10474700300135421	0.16821711984436566	0.33795732085373564	0.3721232742040772	0.10050646965577248	0.18941293528641476	0.3262355499715381	0.39795630280282934	0.08184518727914754	0.19396295994648483	4.972880734400905	11.664480817828533	9.68438063862272	0.7204318408296748	0.9253253337533638	1.3529115484685315	0.0017003386180496072	54.64842900043442	64.07831052942949	715.6547119118634	-1450.041094601236	-1798.320345883428	-2270.8452721718386
50000	-6095.418627432565	-5469.457540536056	-625.9610868965088	0.44734640276657767	0.2642264350895426	0.09807264792196291	0.19035451422191682	0.33603763228759315	0.4110570138487291	0.10101233604005837	0.15189301782361941	0.3264033614432488	0.3788004238041904	0.07605820043767418	0.21873801431488643	7.8162273588726	10.226569440293424	12.621173893924318	0.6252222739913544	0.9475229582867989	1.425470111883711	0.0018673808877257873	40.109680284457234	60.041747920751554	633.1834692691979	-1432.781094941548	-1788.8851027284536	-2247.7913428660545
60000	-6102.715576724711	-5478.32034070014	-624.3952360245707	0.4765236621031083	0.20378183148262763	0.0852423449044595	0.23445216150980458	0.2633675466162869	0.4853950355773719	0.09207544447743143	0.1591619733289097	0.2693711883712812	0.42141053197499206	0.08283492357385887	0.2263833560798676	7.83983162153813	11.173831858349654	12.497295902909384	0.5934824095291964	0.9325666166115307	1.4720151758094122	0.0020107655858971132	41.06710427387939	56.321510772164274	614.9013838575042	-1438.0494258951444	-1791.07338437677	-2249.1975304282255
70000	-6103.634273563919	-5485.369085467061	-618.2651880968577	0.5004059081136082	0.23994586343762922	0.10149323313253152	0.15815499531623103	0.2762938299279359	0.42864174263231547	0.09010928088147714	0.2049551465582714	0.30612187856239925	0.33955147374776334	0.10703098391050592	0.2472956637793312	7.681260106120784	7.870177147668299	12.446061712988923	0.6881192467595254	1.0052609447907408	1.3051346620057322	0.0021362541086406123	37.81647660661711	56.9912682021689	610.92818751436	-1428.41314828894	-1781.554974082905	-2275.4009630952164
80000	-6096.1740336274315	-5476.987145792488	-619.1868878349433	0.5317682021750387	0.2085835693761988	0.10617193944266988	0.15347628900609267	0.3004744305634692	0.41554616880351886	0.11345057680260182	0.17052882383041007	0.33793896778276866	0.33302279799329154	0.0970652566458697	0.23197297757806984	7.748583428608138	9.339605099650957	10.08353247317348	0.7282294758254824	0.9075175807513839	1.3629587980699223	0.0021016989050891503	45.306991049691995	56.67749065606382	597.8782816627603	-1438.5774211893004	-1782.905133757887	-2255.5045908453008
90000	-6087.617342725209	-5471.735062340679	-615.8822803845292	0.4779337719765845	0.2625157677947713	0.10081422164140184	0.15873623858724237	0.3382422748724442	0.41368868108366225	0.09218311423070842	0.15588592981318514	0.32556282483073556	0.3669354503552139	0.09771335152376956	0.20978837329028066	10.544208547692888	11.963762127228986	12.190664908117625	0.647974546732387	0.9353251000213083	1.4150240415640785	0.002089997322639734	41.36969193741214	60.48432096222988	595.9510442328699	-1437.1022837290134	-1773.1202382362105	-2261.512540375455
100000	-6117.037815409964	-5482.692876643136	-634.3449387668289	0.5274373819880689	0.22632726641315742	0.10081422164140184	0.14542112995737183	0.2959501738527097	0.40665684298864874	0.11414547759030215	0.1832475055683394	0.3218957815074944	0.35943731571885135	0.0862635895551333	0.23240331321852056	5.8504705872477984	9.307087435528786	10.152555878855331	0.6539057789051743	0.9292512293106372	1.4151949240646895	0.0019826675050873236	63.89094793548209	57.72440419489078	616.2039752104223	-1447.0851097189814	-1778.2883543384828	-2257.319412585672
110000	-6079.00328038253	-5460.015581038745	-618.987699343785	0.4466861404961276	0.2649515899306981	0.10453412772845096	0.18382814184472332	0.29689664723071973	0.4198437880782844	0.0908054227564579	0.19245414193453797	0.27365810344330305	0.40666577670615756	0.10235369731884895	0.21732242253169007	7.723990074296046	10.254838306862988	10.184267810222101	0.7057855793891779	0.9898580823839149	1.3029553171763797	0.002030832701760823	42.116303079491495	57.638684461210126	603.6084353112374	-1432.1185868017415	-1772.458242917067	-2255.4387513199367
120000	-6079.257846770481	-5469.605229225595	-609.6526175448856	0.49219788138551357	0.2518655264222383	0.09781866577859682	0.15811792641365133	0.31426584443965533	0.4164268261380869	0.08846691893456977	0.18084041048768792	0.35656143169622395	0.35693402530173357	0.07849341178429876	0.2080111312177433	5.934622577589689	10.99206647688654	9.944270281352356	0.7423406336234335	0.8559263782382334	1.4005060387746355	0.001977784939971075	33.81855836497225	57.823548742505935	588.1740217618352	-1439.7501268431613	-1784.1215458245872	-2245.733556557847
130000	-6081.229086950938	-5481.459225274211	-599.7698616767269	0.49437382708376904	0.22432190792391354	0.10475958590481677	0.17654467908750063	0.32848234174248875	0.41522163011003743	0.08523773679635413	0.1710582913511196	0.34888987843182473	0.3440445333082505	0.07404267949803854	0.23302290876188597	10.25164438614189	10.569725799448731	10.687256604945691	0.6625274925092812	0.9293985179290971	1.40646697762119	0.002368597248791602	37.36780940861313	53.978482285847	538.0362876898763	-1441.8388711392909	-1783.152606009237	-2256.467748125684
140000	-6071.659871358003	-5473.188224382031	-598.4716469759725	0.43965436837182725	0.2548570824584768	0.08302562406331879	0.222462925106377	0.3328793093201904	0.3968563402572699	0.09071485614673641	0.17954949427580322	0.33670306893325436	0.38108772055883183	0.06554354062198524	0.2166656698859283	7.615193947892297	8.321569559040933	12.96430789213852	0.665213206832251	0.9171928471588299	1.415999723184311	0.0022865775805496137	35.928884639561645	52.0961346994456	537.6048730497778	-1442.844541217011	-1781.267482036033	-2249.0762011289876
150000	-6064.010103576425	-5472.218368050986	-591.7917355254386	0.5116733043096522	0.21293701760371966	0.08843328391758366	0.18695639416904444	0.31691737985619484	0.44133558481905444	0.08993316841066394	0.15181386691408683	0.3108296467830018	0.3792694807766192	0.08560117760272722	0.22429969483765155	11.669590854530925	9.667743357245163	11.339953825392627	0.6932899705641035	0.9561825377625877	1.3490669677236142	0.002525161762824475	28.75824464216984	55.762986177334575	528.0711571555797	-1435.2530356762845	-1782.3200459685834	-2254.645286406118
